,precision,recall,f1-score,support
0,0.985,0.631,0.769,560929.0
1,0.119,0.842,0.208,33067.0
accuracy,0.643,0.643,0.643,0.643
macro avg,0.552,0.736,0.489,593996.0
weighted avg,0.937,0.643,0.738,593996.0
