,precision,recall,f1-score,support
0,0.975,0.858,0.913,549187.0
1,0.212,0.634,0.318,33014.0
accuracy,0.845,0.845,0.845,0.845
macro avg,0.593,0.746,0.615,582201.0
weighted avg,0.932,0.845,0.879,582201.0
