,precision,recall,f1-score,support
0,0.976,0.867,0.918,561396.0
1,0.217,0.63,0.322,32870.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.596,0.748,0.62,594266.0
weighted avg,0.934,0.853,0.885,594266.0
