,precision,recall,f1-score,support
0,0.975,0.852,0.91,560929.0
1,0.202,0.636,0.307,33067.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.589,0.744,0.608,593996.0
weighted avg,0.932,0.84,0.876,593996.0
