,precision,recall,f1-score,support
0,0.979,0.815,0.889,567191.0
1,0.178,0.692,0.283,32809.0
accuracy,0.808,0.808,0.808,0.808
macro avg,0.578,0.754,0.586,600000.0
weighted avg,0.935,0.808,0.856,600000.0
