,precision,recall,f1-score,support
civic_service,0.212,0.214,0.213,38172.0
commercial_recreation,0.248,0.018,0.034,35446.0
other,0.026,0.453,0.048,3052.0
residential_place,0.209,0.15,0.175,79772.0
residential_street,0.604,0.605,0.605,272097.0
transport,0.181,0.188,0.185,89486.0
accuracy,0.393,0.393,0.393,0.393
macro avg,0.247,0.271,0.21,518025.0
weighted avg,0.414,0.393,0.395,518025.0
