target,split_mode,fold_id,model,feature_mode,n_train,n_test,best_threshold,val_macro_f1,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,logreg,both,3171616,881005,0.8200000000000002,0.6568,0.9206837645643328,0.6543976154554602,0.920196871385828,0.24760816129497132,0.8172956729634211
label_sensitive_binary,random,random_fold_1,sgd,both,3171616,881005,0.7800000000000001,0.656,0.9214192881992724,0.6530859469966387,0.9204108221938518,0.2446483681269341,0.8158397069608552
label_sensitive_binary,random,random_fold_1,sgd_fixed,both,3524018,881005,0.5,,0.8461745393045442,0.6255812716908592,0.8773872379421128,0.24707118203615464,0.8162056100334405
label_sensitive_binary,random,random_fold_1,xgb,both,3171616,881005,0.7900000000000001,0.6567,0.9204567510967588,0.6543625931111556,0.9200794741923523,0.24947973981032284,0.8179463023558413
label_sensitive_binary,state,state_fold_1,logreg,both,3195058,854956,0.8100000000000002,0.6578,0.9208696120034248,0.6478829189687404,0.9186085785993702,0.24996492904111267,0.8134503232582309
label_sensitive_binary,state,state_fold_2,logreg,both,3208849,839633,0.7900000000000001,0.6542,0.9178260025511146,0.6591885735894725,0.9174285552313067,0.2574606319012658,0.8149607867325814
label_sensitive_binary,state,state_fold_3,logreg,both,3105163,954839,0.7900000000000001,0.6488,0.9276254949787346,0.6706593218463882,0.9275840597800905,0.26114259835500225,0.8311057863236417
label_sensitive_binary,state,state_fold_4,logreg,both,3150077,904935,0.8000000000000002,0.6574,0.9217280799173422,0.6477691124802443,0.9214366415109742,0.22918611254800192,0.8136041441067454
label_sensitive_binary,state,state_fold_5,logreg,both,3198926,850658,0.8500000000000002,0.657,0.9138408149926293,0.6473681299899474,0.9148224255974506,0.2378426093989858,0.8128173732858471
label_sensitive_binary,state,state_fold_1,sgd,both,3195058,854956,0.7900000000000001,0.6562,0.921908261945644,0.6478131972398711,0.9191147517328153,0.2506344692141984,0.8129224378798221
label_sensitive_binary,state,state_fold_2,sgd,both,3208849,839633,0.7900000000000001,0.6529,0.9186978120202517,0.6571133675142073,0.917609905512928,0.25613945670015054,0.8138593152856143
label_sensitive_binary,state,state_fold_3,sgd,both,3105163,954839,0.7800000000000001,0.6476,0.9284895149862962,0.6697791202470122,0.927918617814913,0.2597239038682457,0.829542021389737
label_sensitive_binary,state,state_fold_4,sgd,both,3150077,904935,0.7900000000000001,0.6565,0.9224960908794554,0.6464417324484646,0.9216709875909599,0.2284623707236808,0.8126307272767388
label_sensitive_binary,state,state_fold_5,sgd,both,3198926,850658,0.7900000000000001,0.6556,0.9146354939352831,0.6464286339208045,0.9151090007540094,0.233851319897511,0.8115039755794401
label_sensitive_binary,state,state_fold_1,sgd_fixed,both,3550065,854956,0.5,,0.8508250716995962,0.6319864292518358,0.8797908548264355,0.25059615603556645,0.8129409280308998
label_sensitive_binary,state,state_fold_2,sgd_fixed,both,3565388,839633,0.5,,0.8369704382748177,0.6204852637029273,0.8698006741406973,0.2562688585122269,0.8139067856286484
label_sensitive_binary,state,state_fold_3,sgd_fixed,both,3450182,954839,0.5,,0.8462473778301892,0.6252108845785076,0.8794080666632432,0.2599975920070617,0.8299946553204036
label_sensitive_binary,state,state_fold_4,sgd_fixed,both,3500086,904935,0.5,,0.8502776442506921,0.621187243538253,0.8807142370477018,0.22887916367795025,0.8133527278946634
label_sensitive_binary,state,state_fold_5,sgd_fixed,both,3554363,850658,0.5,,0.8420316978151031,0.6253642364656276,0.873942936617599,0.2342389864501297,0.8117203473779213
label_sensitive_binary,state,state_fold_1,xgb,both,3195058,854956,0.7900000000000001,0.6578,0.9208544065425589,0.6478572152749772,0.9185979616640738,0.2514160154106156,0.8140964296605124
label_sensitive_binary,state,state_fold_2,xgb,both,3208849,839633,0.7900000000000001,0.6541,0.917822429561487,0.659182554201061,0.9174260376689919,0.25867614069579464,0.8159315810861517
label_sensitive_binary,state,state_fold_3,xgb,both,3105163,954839,0.7800000000000001,0.6489,0.9257246509620993,0.6699029476615465,0.9265491086498348,0.26254206205912595,0.8317161016198735
label_sensitive_binary,state,state_fold_4,xgb,both,3150077,904935,0.7900000000000001,0.6574,0.9215103847237647,0.6477378473071174,0.9213243860558732,0.2301480191765605,0.8146243135901032
label_sensitive_binary,state,state_fold_5,xgb,both,3198926,850658,0.7900000000000001,0.657,0.9137220833754576,0.6473393831760366,0.9147594163037414,0.23950276681916388,0.8137332862381135
