target,split_mode,fold_id,model,feature_mode,n_train,n_test,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,dtree,both,2399999,600000,0.6948833333333333,0.5089767918963657,0.778067632947997,0.20048928934693533,0.7737331302143877
label_sensitive_binary,random,random_fold_1,lgbm,both,2399999,600000,0.8083733333333334,0.5862672781636583,0.8562529428005472,0.2625215619318221,0.8246107065376402
label_sensitive_binary,random,random_fold_1,sgd,both,2399999,600000,0.852855,0.6176458208410386,0.8847376636379441,0.2485569346309787,0.8185912067536446
label_sensitive_binary,state,state_fold_1,dtree,both,2384751,615248,0.8714973474111253,0.632380953620101,0.897496127258363,0.21534522850197385,0.7882151137395789
label_sensitive_binary,state,state_fold_2,dtree,both,2417798,582201,0.8458281590035056,0.6155238945531566,0.8793440692856899,0.20679095953949161,0.8095221614549705
label_sensitive_binary,state,state_fold_3,dtree,both,2385711,614288,0.8599679629099054,0.6233802386805809,0.8902531975391287,0.22435357797125546,0.7916053856647893
label_sensitive_binary,state,state_fold_4,dtree,both,2406003,593996,0.6428763830059462,0.4886755187098142,0.7382088564242092,0.21057167985701433,0.8052234364583456
label_sensitive_binary,state,state_fold_5,dtree,both,2405733,594266,0.8362080280547768,0.6063847370439297,0.8738814551059857,0.2193671335067675,0.8141423431639553
label_sensitive_binary,state,state_fold_1,lgbm,both,2384751,615248,0.8530820092060437,0.6160751843230264,0.8858083969340719,0.23060440099282672,0.8142533116289642
label_sensitive_binary,state,state_fold_2,lgbm,both,2417798,582201,0.8454468473946283,0.6152208030295045,0.8791001219458863,0.2466726797887689,0.8188575279277197
label_sensitive_binary,state,state_fold_3,lgbm,both,2385711,614288,0.8444166254265101,0.611595940009355,0.8804456532966637,0.2387662367983644,0.825966253779959
label_sensitive_binary,state,state_fold_4,lgbm,both,2406003,593996,0.8401773749318178,0.6083565778530934,0.8761244665256249,0.21473002867571447,0.8129178466732592
label_sensitive_binary,state,state_fold_5,lgbm,both,2405733,594266,0.844707588857515,0.6135644388123437,0.8793702854251252,0.22198714958375593,0.8160000350445438
label_sensitive_binary,state,state_fold_1,sgd,both,2384751,615248,0.8593396484019452,0.6203370766275861,0.8896959503765104,0.2251461414566053,0.8128024439379915
label_sensitive_binary,state,state_fold_2,sgd,both,2417798,582201,0.8524083606864296,0.6202805433064604,0.883499616731879,0.24557233644553678,0.8182735354848303
label_sensitive_binary,state,state_fold_3,sgd,both,2385711,614288,0.8523998515354362,0.6172207724099976,0.8854650333721401,0.22907888900662174,0.8234088674887509
label_sensitive_binary,state,state_fold_4,sgd,both,2406003,593996,0.8476791089502286,0.6136355497558157,0.8808646844132559,0.21286158736237004,0.811552025925095
label_sensitive_binary,state,state_fold_5,sgd,both,2405733,594266,0.8534780721091229,0.6200638606340798,0.884916571913347,0.2199122703741963,0.8149610909373225
label_target_main,random,random_fold_1,dtree,both,2113919,528480,0.4515459430820466,0.294280907236841,0.4600811398666565,,
label_target_main,random,random_fold_1,lgbm,both,2113919,528480,0.4618244777475023,0.30758568743388265,0.4713965979867186,,
label_target_main,random,random_fold_1,sgd,both,2113919,528480,0.5553663336360884,0.3018620295708907,0.49896826450266,,
label_target_main,state,state_fold_1,dtree,both,2136009,506390,0.41051956002290724,0.18100502340269933,0.36248064573226824,,
label_target_main,state,state_fold_2,dtree,both,2124374,518025,0.3932841079098499,0.20993466410594872,0.39482059711733347,,
label_target_main,state,state_fold_3,dtree,both,2075086,567313,0.22763271774135266,0.19293796651199893,0.20065750417984177,,
label_target_main,state,state_fold_4,dtree,both,2095946,546453,0.4224334023237131,0.22839282287620608,0.3902541023386923,,
label_target_main,state,state_fold_5,dtree,both,2138181,504218,0.34117385733948413,0.2481850101783224,0.350688913872438,,
label_target_main,state,state_fold_1,lgbm,both,2136009,506390,0.35049270325243387,0.2212759115561713,0.3633252098752202,,
label_target_main,state,state_fold_2,lgbm,both,2124374,518025,0.32477776169103806,0.22247588078610056,0.35725134392729613,,
label_target_main,state,state_fold_3,lgbm,both,2075086,567313,0.39046346549435673,0.2066146052118278,0.3737392489561108,,
label_target_main,state,state_fold_4,lgbm,both,2095946,546453,0.29506105740109395,0.19571908298581753,0.3185922037420236,,
label_target_main,state,state_fold_5,lgbm,both,2138181,504218,0.3110202333117818,0.247119233964845,0.32647952884025155,,
label_target_main,state,state_fold_1,sgd,both,2136009,506390,0.4890282193566224,0.20325067818674994,0.3769811273952027,,
label_target_main,state,state_fold_2,sgd,both,2124374,518025,0.532804401331982,0.2219085086199647,0.4209881767613678,,
label_target_main,state,state_fold_3,sgd,both,2075086,567313,0.5256815902332574,0.21871498817291646,0.41462688944229037,,
label_target_main,state,state_fold_4,sgd,both,2095946,546453,0.5087683661723881,0.21301692137355388,0.3945539618147117,,
label_target_main,state,state_fold_5,sgd,both,2138181,504218,0.49836578622738575,0.2124066065895607,0.37778687119927473,,
