,precision,recall,f1-score,support
0,0.978,0.864,0.917,1573976.0
1,0.206,0.641,0.312,86650.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.592,0.753,0.615,1660626.0
weighted avg,0.937,0.853,0.886,1660626.0
