,precision,recall,f1-score,support
0,0.975,0.869,0.919,1486843.0
1,0.221,0.623,0.326,88086.0
accuracy,0.856,0.856,0.856,0.856
macro avg,0.598,0.746,0.623,1574929.0
weighted avg,0.933,0.856,0.886,1574929.0
