,precision,recall,f1-score,support
0,0.976,0.861,0.915,1468261.0
1,0.218,0.647,0.326,87956.0
accuracy,0.849,0.849,0.849,0.849
macro avg,0.597,0.754,0.621,1556217.0
weighted avg,0.933,0.849,0.882,1556217.0
