,precision,recall,f1-score,support
civic_service,0.306,0.519,0.385,104835.0
commercial_recreation,0.229,0.199,0.213,106426.0
other,0.075,0.0,0.001,7584.0
residential_place,0.0,0.0,0.0,244785.0
residential_street,0.601,0.914,0.725,823552.0
transport,0.252,0.006,0.011,241825.0
accuracy,0.543,0.543,0.543,0.543
macro avg,0.244,0.273,0.223,1529007.0
weighted avg,0.401,0.543,0.434,1529007.0
