,precision,recall,f1-score,support
0,0.976,0.867,0.918,1512561.0
1,0.215,0.63,0.32,87439.0
accuracy,0.854,0.854,0.854,0.854
macro avg,0.595,0.748,0.619,1600000.0
weighted avg,0.934,0.854,0.885,1600000.0
