,precision,recall,f1-score,support
civic_service,0.311,0.485,0.379,102040.0
commercial_recreation,0.246,0.163,0.196,92794.0
other,0.033,0.002,0.004,8374.0
residential_place,0.503,0.443,0.471,249851.0
residential_street,0.634,0.84,0.723,718111.0
transport,0.289,0.02,0.038,238327.0
accuracy,0.556,0.556,0.556,0.556
macro avg,0.336,0.326,0.302,1409497.0
weighted avg,0.5,0.556,0.498,1409497.0
