,precision,recall,f1-score,support
civic_service,0.313,0.476,0.377,99164.0
commercial_recreation,0.228,0.197,0.212,94054.0
other,0.02,0.005,0.008,8955.0
residential_place,0.25,0.0,0.0,235912.0
residential_street,0.567,0.922,0.702,696273.0
transport,0.268,0.004,0.009,236283.0
accuracy,0.517,0.517,0.517,0.517
macro avg,0.274,0.267,0.218,1370641.0
weighted avg,0.416,0.517,0.4,1370641.0
