target,split_mode,fold_id,model,n_train,n_test,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,lsvc,1600000,400000,0.945235,0.48592329461478945,0.918623410770421,0.2247340561333549,0.8119924669528075
label_sensitive_binary,random,random_fold_1,sgd,1600000,400000,0.85281,0.615917920258295,0.8845182771024995,0.22360272876561677,0.8118640561454606
label_sensitive_binary,state,state_fold_1,lsvc,1587442,412558,0.9472534770868581,0.4864561744185323,0.9215946053366517,0.221623982388159,0.8113757808725147
label_sensitive_binary,state,state_fold_2,lsvc,1619926,380074,0.9420744381357314,0.48508667826350843,0.9139755197444461,0.24487908904203684,0.8137401777100604
label_sensitive_binary,state,state_fold_3,lsvc,1584783,415217,0.9475190081330966,0.4865261926461986,0.921985630973796,0.2325158932860293,0.8190434739298128
label_sensitive_binary,state,state_fold_4,lsvc,1601347,398653,0.9448166701366852,0.48581271676897025,0.9180079067354301,0.21334898050964718,0.8106976947651408
label_sensitive_binary,state,state_fold_5,lsvc,1606502,393498,0.9441801483107919,0.48564437258098037,0.917071551459623,0.22360752298400505,0.8129618082233625
label_sensitive_binary,state,state_fold_1,sgd,1587442,412558,0.8593797720562927,0.6184914604691829,0.8896627565148069,0.22396179356955268,0.810906765423495
label_sensitive_binary,state,state_fold_2,sgd,1619926,380074,0.851484184658777,0.6194640110602567,0.8821797799535881,0.24502905003172426,0.8132299220351318
label_sensitive_binary,state,state_fold_3,sgd,1584783,415217,0.8511814304327616,0.6134287098934643,0.8847719634047357,0.22651877271515597,0.8184493648337818
label_sensitive_binary,state,state_fold_4,sgd,1601347,398653,0.8500048914720321,0.6147348702727656,0.8825741063259929,0.21401332779144422,0.8109277928087453
label_sensitive_binary,state,state_fold_5,sgd,1606502,393498,0.851579931791267,0.617152972480856,0.883290156566898,0.21700536984900531,0.8125995966598469
