,precision,recall,f1-score,support
0,0.974,0.853,0.91,358058.0
1,0.21,0.635,0.316,22016.0
accuracy,0.841,0.841,0.841,0.841
macro avg,0.592,0.744,0.613,380074.0
weighted avg,0.93,0.841,0.875,380074.0
