,precision,recall,f1-score,support
civic_service,0.316,0.525,0.394,27548.0
commercial_recreation,0.173,0.138,0.153,21588.0
other,0.014,0.035,0.02,1962.0
residential_place,0.207,0.514,0.295,69033.0
residential_street,0.643,0.04,0.075,185445.0
transport,0.163,0.324,0.217,55956.0
accuracy,0.217,0.217,0.217,0.217
macro avg,0.253,0.262,0.192,361532.0
weighted avg,0.429,0.217,0.168,361532.0
