,precision,recall,f1-score,support
0,0.979,0.848,0.909,393426.0
1,0.195,0.664,0.301,21791.0
accuracy,0.838,0.838,0.838,0.838
macro avg,0.587,0.756,0.605,415217.0
weighted avg,0.937,0.838,0.877,415217.0
