,precision,recall,f1-score,support
0,0.975,0.897,0.934,390797.0
1,0.239,0.583,0.339,21761.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.607,0.74,0.637,412558.0
weighted avg,0.936,0.88,0.903,412558.0
