,precision,recall,f1-score,support
0,0.976,0.852,0.91,371533.0
1,0.205,0.645,0.311,21965.0
accuracy,0.841,0.841,0.841,0.841
macro avg,0.591,0.749,0.611,393498.0
weighted avg,0.933,0.841,0.877,393498.0
