,precision,recall,f1-score,support
0,0.975,0.872,0.921,378094.0
1,0.219,0.62,0.323,21906.0
accuracy,0.858,0.858,0.858,0.858
macro avg,0.597,0.746,0.622,400000.0
weighted avg,0.934,0.858,0.888,400000.0
