target,split_mode,fold_id,model,feature_mode,n_train,n_test,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,dtree,both,3524018,881005,0.8396070396876295,0.6208141558249562,0.873181850972823,0.2473849952435493,0.8175983612459732
label_sensitive_binary,random,random_fold_1,sgd,both,3524018,881005,0.8461745393045442,0.6255812716908592,0.8773872379421128,0.24707118203615464,0.8162056100334405
label_sensitive_binary,state,state_fold_1,dtree,both,3550065,854956,0.8437334786819438,0.6266343382389626,0.8752402055201686,0.25001181234668346,0.8141362467110609
label_sensitive_binary,state,state_fold_2,dtree,both,3565388,839633,0.8323517536828591,0.6174734944155698,0.866845516352449,0.2561489660214205,0.8153926691461695
label_sensitive_binary,state,state_fold_3,dtree,both,3450182,954839,0.8403699471848134,0.6209755196615252,0.8756536675504972,0.2634160795804441,0.8317128455067035
label_sensitive_binary,state,state_fold_4,dtree,both,3500086,904935,0.8447490703752203,0.6174785993450056,0.8772349455364635,0.22909119110378995,0.8143059250429833
label_sensitive_binary,state,state_fold_5,dtree,both,3554363,850658,0.8373717757312574,0.6223211974893635,0.8709744022466278,0.23613470272554754,0.8132128444390109
label_sensitive_binary,state,state_fold_1,sgd,both,3550065,854956,0.8508250716995962,0.6319864292518358,0.8797908548264355,0.25059615603556645,0.8129409280308998
label_sensitive_binary,state,state_fold_2,sgd,both,3565388,839633,0.8369704382748177,0.6204852637029273,0.8698006741406973,0.2562688585122269,0.8139067856286484
label_sensitive_binary,state,state_fold_3,sgd,both,3450182,954839,0.8462473778301892,0.6252108845785076,0.8794080666632432,0.2599975920070617,0.8299946553204036
label_sensitive_binary,state,state_fold_4,sgd,both,3500086,904935,0.8502776442506921,0.621187243538253,0.8807142370477018,0.22887916367795025,0.8133527278946634
label_sensitive_binary,state,state_fold_5,sgd,both,3554363,850658,0.8420316978151031,0.6253642364656276,0.873942936617599,0.2342389864501297,0.8117203473779213
