target,split_mode,fold_id,model,feature_mode,n_train,n_test,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,xgb,both,2399999,600000,0.9453566666666666,0.4915902689184472,0.9193734090664414,0.262404275628387,0.8252569014807681
label_sensitive_binary,state,state_fold_1,xgb,both,2384751,615248,0.9470961303409356,0.48641467443885245,0.9213629118041665,0.2278713840650849,0.8149353251545451
label_sensitive_binary,state,state_fold_2,xgb,both,2417798,582201,0.9432790393695648,0.4863420438070887,0.9158661148785382,0.24750472234582896,0.8189886005878182
label_sensitive_binary,state,state_fold_3,xgb,both,2385711,614288,0.9470053134686011,0.4868200850540429,0.9212883681297178,0.23872402238415025,0.8258873427919676
label_sensitive_binary,state,state_fold_4,xgb,both,2406003,593996,0.9416342870995764,0.5189431992146214,0.9196683522472853,0.2152937022645681,0.8131126149718922
label_sensitive_binary,state,state_fold_5,xgb,both,2405733,594266,0.9446830207348225,0.48577737896732515,0.9178161881808499,0.22161911763509398,0.8166246095019122
