target,split_mode,fold_id,model,n_train,n_test,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,rf,1600000,400000,0.85166,0.6149198977730651,0.8837827164012902,0.22473054470870474,0.8119864696286795
label_sensitive_binary,state,state_fold_1,rf,1587442,412558,0.8580854085970943,0.6174244683326423,0.88884651505291,0.22162490281218178,0.8113786210207735
label_sensitive_binary,state,state_fold_2,rf,1619926,380074,0.8504317580260686,0.6186608883755588,0.8815124125686984,0.2448792953702897,0.8137403671048423
label_sensitive_binary,state,state_fold_3,rf,1584783,415217,0.8501988117056865,0.6126084108492733,0.8841466647088282,0.23252863165296891,0.8191211342195873
label_sensitive_binary,state,state_fold_4,rf,1601347,398653,0.8489563605441324,0.6138678106362261,0.8819048379126865,0.21334804603322283,0.8106726710243635
label_sensitive_binary,state,state_fold_5,rf,1606502,393498,0.8499204570290065,0.6157818438500839,0.882231155753051,0.22359570941496842,0.8129002815620239
