target,split_mode,fold_id,model,feature_mode,n_train,n_test,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,logreg,target_enc,1600000,400000,0.86751,0.6293420498559466,0.8939163231046261,0.22871257612979848,0.8162694844981253
label_sensitive_binary,random,random_fold_1,sgd,target_enc,1600000,400000,0.86751,0.6293420498559466,0.8939163231046261,0.22871257612979848,0.8162694844981253
label_sensitive_binary,state,state_fold_1,logreg,target_enc,1587442,412558,0.8759544112585382,0.635023487484624,0.9002777995463139,0.22570855391763328,0.8149375923068541
label_sensitive_binary,state,state_fold_2,logreg,target_enc,1619926,380074,0.8658997984602999,0.6328263225449612,0.8914734118452037,0.2498849500985677,0.8188978705405676
label_sensitive_binary,state,state_fold_3,logreg,target_enc,1584783,415217,0.8661085649190664,0.6262401586928995,0.8942336985637526,0.2360628646192014,0.8237240210310913
label_sensitive_binary,state,state_fold_4,logreg,target_enc,1601347,398653,0.8638490115463825,0.6264194859705229,0.8913735103406111,0.21668265721800217,0.8145751639307495
label_sensitive_binary,state,state_fold_5,logreg,target_enc,1606502,393498,0.8660780995074944,0.630878246202675,0.892631738081401,0.22822989608580485,0.81816461456881
label_sensitive_binary,state,state_fold_1,sgd,target_enc,1587442,412558,0.8757653469330373,0.6348733657563731,0.9001607819470967,0.22570855391763328,0.8149375923068541
label_sensitive_binary,state,state_fold_2,sgd,target_enc,1619926,380074,0.8660050411235707,0.6328868959595262,0.8915374316257058,0.2498849500985677,0.8188978705405676
label_sensitive_binary,state,state_fold_3,sgd,target_enc,1584783,415217,0.8660266800251435,0.6261887340472282,0.8941836919487299,0.23606286461920145,0.8237240210310912
label_sensitive_binary,state,state_fold_4,sgd,target_enc,1601347,398653,0.8644660895565818,0.6269001369851377,0.8917597221235984,0.21668265721800217,0.8145751638704068
label_sensitive_binary,state,state_fold_5,sgd,target_enc,1606502,393498,0.8660933473613589,0.6308872517750169,0.892641024042176,0.22822989608580485,0.81816461456881
